city,area,street,street_number,address,rooms,kvm,price,day_of_month_sold,month_sold_swedish,year_sold,asking_price,avgift,type,floor,running_costs,year_built,hoa,agent_name,agency
Stockholms,Vällingby,Jämtlandsgatan,99,Jämtlandsgatan 99 Vån 2 13025,1,36,2210000,29,juli,2019,1895000,1905,LägenhetLägenhet,NA,3000,2018,NA, Micaela Rebel , Mäklarhuset VällingbyHässelby 
Solna,Solna,Vasavägen,24,Vasavägen 24,1.5,34,2490000,28,juli,2019,1995000,2055,LägenhetLägenhet,NA,4200,1931,NA, Oscar Hedensjö , BOSTHLM 
Sundbybergs,Ursvik,Ursviks Allé,41,Ursviks Allé 41,2,39,2150000,27,juli,2019,1995000,2538,LägenhetLägenhet,NA,3480,2015,NA, Mike Chammas , Länsförsäkringar Fastighetsförmedling Solna 
Stockholms,Skärmarbrink,Pastellvägen,13,Pastellvägen 13,1,25,2215000,27,juli,2019,1995000,1641,LägenhetLägenhet,NA,3600,1943,NA, Mikaela Bogestedt , Södermäklarna 
Stockholms,Blackeberg,Wergelandsgatan,46,Wergelandsgatan 46M,1,32,2025000,26,juli,2019,1995000,2349,LägenhetLägenhet,NA,NA,2018,NA, Adam Farhoumand , Unik Fastighetsförmedling AB 
Stockholms,Globen,Bildhuggarvägen,19,Bildhuggarvägen 19,1,36,2410000,26,juli,2019,1995000,2194,LägenhetLägenhet,NA,3300,1944,NA, Alexandra Mokos , Svenska Mäklarhuset Johanneshov 
Solna,Solna,Jungfrudansen,15,Jungfrudansen 15 vån 2,1.5,41,2500000,26,juli,2019,2395000,2372,LägenhetLägenhet,2,1800,NA,NA, Niklas Jonasson , BOSTHLM Fastighetsmäklare AB 
Stockholms,Vällingby,Rabattvägen,40,Rabattvägen 40,2,51,1975000,25,juli,2019,1975000,3559,LägenhetLägenhet,NA,5700,2013,NA, Yosef J Lahlou , Fastighetsbyrån Vällingby 
Stockholms,Vällingby,Jämtlandsgatan,99,Jämtlandsgatan 99 Vån 1 13012,2,53,2300000,25,juli,2019,2300000,2805,LägenhetLägenhet,NA,3600,2018,NA, Micaela Rebel , Mäklarhuset VällingbyHässelby 
Stockholms,Vällingby,Östersundsgatan,7,Östersundsgatan 7 Vån 6,2,64,2250000,25,juli,2019,1995000,3237,LägenhetLägenhet,6,NA,NA,NA, Micaela Rebel , Mäklarhuset VällingbyHässelby 
Stockholms,Stockholm,Granbacken,9,Granbacken 9,2,42,2325000,24,juli,2019,1995000,3232,LägenhetLägenhet,NA,5880,1940,NA, Robin Bäckström , Länsförsäkringar Fastighetsförmedling Stockholm Bromma 
Nacka,Saltsjöbaden,Fidravägen,35,Fidravägen 35 3tr,2,55,1950000,23,juli,2019,1950000,2980,LägenhetLägenhet,3,6600,2016,NA, Marielle Eriksson , StockholmFast 
Stockholms,Stockholms,Sankt Göransgatan,153,Sankt Göransgatan 153 7tr,1,22.5,2420000,23,juli,2019,1995000,1550,LägenhetLägenhet,7,NA,1949,NA, Elias Thingvall , Notar 
Solna,Råsunda,Bokvägen,13,Bokvägen 13,1,40,2500000,23,juli,2019,2195000,2904,LägenhetLägenhet,NA,6096,1909,NA, Aleidon Adam , Länsförsäkringar Fastighetsförmedling Solna 
Stockholms,Södermalm,Tjärhovsgatan,22,Tjärhovsgatan 22 5 tr ,1,19,2225000,23,juli,2019,1995000,2183,LägenhetLägenhet,5,2000,1940,NA, Christoffer Gatara , HusmanHagberg SödermalmGamla Stan 
Nacka,Nacka,Augustendalsvägen,23,Augustendalsvägen 23  10 tr,1,31,2060000,23,juli,2019,1995000,2219,LägenhetLägenhet,10,7200,2018,NA, Anette Ridder , Fastighetsmäklarna 
Stockholms,Årsta,Storsjövägen,38,Storsjövägen 38 B,1,18.5,1850000,22,juli,2019,1850000,1069,LägenhetLägenhet,NA,NA,2019,NA, Michel Warnie , Fastighetsbyrån Årsta 
Nacka,Järla,Turbinvägen,5,Turbinvägen 5D FASTPRIS,1,33,2500000,22,juli,2019,2500000,1925,LägenhetLägenhet,NA,2400,2018,NA, Igor Ronin , Fastighetsmäklarna 
Solna,Solna/Råsunda,Råsundavägen,168,Råsundavägen 168 vån 1,1,24,2150000,21,juli,2019,2150000,1284,LägenhetLägenhet,1,NA,2019,NA, Izla Sharro , Stones Fastighetsförmedling 
Nacka,Nacka,Augustendalsvägen,21,Augustendalsvägen 21 vån 11,1,37,2300000,21,juli,2019,2275000,2254,LägenhetLägenhet,11,6900,1995,NA, AnneSophie von Krusenstierna , Fastighetsmäklarna 
Solna,Huvudsta,Krysshammarvägen,40,Krysshammarvägen 40 1 tr,2,61.2,2400000,19,juli,2019,1995000,2940,LägenhetLägenhet,1,5048,1966,NA, Jennifer Törnkvist , Fastighetsbyrån Solna 
Nacka,Stensö,Oxelvägen,43,Oxelvägen 43,2,49,2100000,19,juli,2019,1750000,2721,LägenhetLägenhet,NA,3120,NA,NA, Said Said , Svensk Fastighetsförmedling Nacka 
Solna,Solna,Råsundavägen,134,Råsundavägen 134 1 tr,1,28,2315000,19,juli,2019,1795000,2236,LägenhetLägenhet,1,4992,1951,NA, Nicolina Lind , Svensk Fastighetsförmedling Solna 
