"city","area","street","street_number","address","rooms","kvm","price","day_of_month_sold","month_sold_swedish","year_sold","asking_price","avgift","type","floor","running_costs","year_built","hoa","agent_name","agency"
"Stockholms","vällingby","jämtlandsgatan",99,"other",1,36,2210000,29,"juli",2019,1895000,1905,"apartment",6,3000,2018,"other","other","mäklarhusetvällingbyhässelby"
"Solna","solna","other",24,"other",1.5,34,2490000,28,"juli",2019,1995000,2055,"apartment",3,4200,1931,"other","other","other"
"Sundbybergs","ursvik","other",41,"ursviksallé41",2,39,2150000,27,"juli",2019,1995000,2538,"apartment",4,3480,2015,"other","other","länsförsäkringarfastighetsförmedlingsolna"
"Stockholms","globen","other",13,"other",1,25,2215000,27,"juli",2019,1995000,1641,"apartment",3,3600,1943,"other","other","södermäklarna"
"Stockholms","blackeberg","other",46,"other",1,32,2025000,26,"juli",2019,1995000,2349,"apartment",4,4910,2018,"other","other","other"
"Stockholms","globen","other",19,"other",1,36,2410000,26,"juli",2019,1995000,2194,"apartment",3,3300,1944,"other","other","other"
"Solna","solna","jungfrudansen",15,"other",1.5,41,2500000,26,"juli",2019,2395000,2372,"apartment",2,1800,1970,"other","other","bosthlmfastighetsmäklareab"
"Stockholms","vällingby","rabattvägen",40,"rabattvägen40",2,51,1975000,25,"juli",2019,1975000,3559,"apartment",3,5700,2013,"other","yosefjlahlou","fastighetsbyrånvällingby"
"Stockholms","vällingby","jämtlandsgatan",99,"other",2,53,2300000,25,"juli",2019,2300000,2805,"apartment",6,3600,2018,"other","other","mäklarhusetvällingbyhässelby"
"Stockholms","vällingby","östersundsgatan",7,"other",2,64,2250000,25,"juli",2019,1995000,3237,"apartment",6,4208,1980,"brfråck16","other","mäklarhusetvällingbyhässelby"
"Stockholms","stockholms","other",9,"other",2,42,2325000,24,"juli",2019,1995000,3232,"apartment",2,5880,1940,"other","other","länsförsäkringarfastighetsförmedlingstockholmbromma"
"Nacka","saltsjöbaden","other",35,"other",2,55,1950000,23,"juli",2019,1950000,2980,"apartment",3,6600,2016,"other","other","other"
"Stockholms","stockholms","other",153,"other",1,22.5,2420000,23,"juli",2019,1995000,1550,"apartment",7,4344,1949,"other","other","notar"
"Solna","råsunda","other",13,"other",1,40,2500000,23,"juli",2019,2195000,2904,"apartment",5,6096,1909,"other","other","länsförsäkringarfastighetsförmedlingsolna"
"Stockholms","södermalm","tjärhovsgatan",22,"other",1,19,2225000,23,"juli",2019,1995000,2183,"apartment",5,2000,1940,"brfdroskhästen17","other","husmanhagbergsödermalmgamlastan"
"Nacka","nacka","other",23,"other",1,31,2060000,23,"juli",2019,1995000,2219,"apartment",10,7200,2018,"other","other","other"
"Stockholms","årsta","other",38,"other",1,18.5,1850000,22,"juli",2019,1850000,1069,"apartment",5,4053,2019,"other","michelwarnie","fastighetsbyrånårsta"
"Nacka","jarlaberg","other",5,"other",1,33,2500000,22,"juli",2019,2500000,1925,"apartment",5,2400,2018,"other","other","other"
"Solna","råsunda","råsundavägen",168,"other",1,24,2150000,21,"juli",2019,2150000,1284,"apartment",1,4494,2019,"other","other","other"
"Nacka","nacka","other",21,"other",1,37,2300000,21,"juli",2019,2275000,2254,"apartment",11,6900,1995,"other","other","other"
"Solna","huvudsta","other",40,"other",2,61.2,2400000,19,"juli",2019,1995000,2940,"apartment",1,5048,1966,"other","other","fastighetsbyrånsolna"
"Nacka","nacka","other",43,"other",2,49,2100000,19,"juli",2019,1750000,2721,"apartment",5,3120,1977,"other","other","svenskfastighetsförmedlingnacka"
